ap_lift,auroc,average_precision,error_fraction_threshold,family,minimum_support,n,positives,prevalence,scene,score
-0.0769864777894963,0.3083333333333333,0.4684680676650491,0.2,association,3,22,12,0.5454545454545454,office0,nonspatial_label_entropy_residual
-0.1234560359947357,0.1367521367521367,0.2856348730961734,0.3,association,3,22,9,0.4090909090909091,office0,nonspatial_label_entropy_residual
-0.002183397742608284,0.38888888888888884,0.17963478407557354,0.4,association,3,22,4,0.18181818181818182,office0,nonspatial_label_entropy_residual
0.17780232839056376,0.8,0.8596205102087455,0.1,association,3,22,15,0.6818181818181818,office0,num_detections
0.12017427017427007,0.7166666666666667,0.6656288156288155,0.2,association,3,22,12,0.5454545454545454,office0,num_detections
0.21981120731120735,0.7863247863247863,0.6289021164021165,0.3,association,3,22,9,0.4090909090909091,office0,num_detections
0.361038961038961,0.8888888888888888,0.5428571428571428,0.4,association,3,22,4,0.18181818181818182,office0,num_detections
0.1087443284643449,0.8500000000000001,0.9783095458556492,0.1,mask,3,23,20,0.8695652173913043,office0,voxel_second_region_residual
0.1669846002797949,0.8,0.9495932959319688,0.2,mask,3,23,18,0.782608695652174,office0,voxel_second_region_residual
0.21890908719427027,0.8035714285714286,0.9145612611073137,0.3,mask,3,23,16,0.6956521739130435,office0,voxel_second_region_residual
0.21890908719427027,0.8035714285714286,0.9145612611073137,0.4,mask,3,23,16,0.6956521739130435,office0,voxel_second_region_residual
0.04356240147320711,0.6500000000000001,0.9131276188645114,0.1,mask,3,23,20,0.8695652173913043,office0,voxel_owner_entropy_residual
0.0768730923728792,0.6111111111111112,0.8594817880250532,0.2,mask,3,23,18,0.782608695652174,office0,voxel_owner_entropy_residual
0.07593134877342023,0.6071428571428572,0.7715835226864637,0.3,mask,3,23,16,0.6956521739130435,office0,voxel_owner_entropy_residual
0.07593134877342023,0.6071428571428572,0.7715835226864637,0.4,mask,3,23,16,0.6956521739130435,office0,voxel_owner_entropy_residual
0.04356240147320711,0.6500000000000001,0.9131276188645114,0.1,mask,3,23,20,0.8695652173913043,office0,framebalanced_disagreement_residual
0.04956930048575392,0.5666666666666667,0.8321779961379279,0.2,mask,3,23,18,0.782608695652174,office0,framebalanced_disagreement_residual
0.08426576043663636,0.5892857142857144,0.7799179343496798,0.3,mask,3,23,16,0.6956521739130435,office0,framebalanced_disagreement_residual
0.08426576043663636,0.5892857142857144,0.7799179343496798,0.4,mask,3,23,16,0.6956521739130435,office0,framebalanced_disagreement_residual
